SOURCE_FACILITY_ID,DESTINATION_FACILITY_ID,TRANSPORT_COST_SURCHARGE
1015,1012,1.48
1015,1013,1.25
1015,1014,1.35
1015,1016,1.45
1015,1017,1.52
1015,1018,1.15
1015,1019,1.28
1015,1020,1.55
1015,1021,1.32
1015,1022,1.42
1015,1023,1.48
1015,1024,1.12
1016,1001,1.08
1016,1002,1.18
1016,1003,1.32
1016,1004,1.22
1016,1005,1.45
1016,1006,1.28
1016,1007,1.38
1016,1008,1.42
1016,1009,1.52
1016,1010,1.35
1016,1011,1.48
1016,1012,1.58
1016,1013,1.12
1016,1014,1.28
1016,1015,1.45
1016,1017,1.25
1016,1018,1.35
1016,1019,1.15
1016,1020,1.42
1016,1021,1.48
1016,1022,1.05
1016,1023,1.38
1016,1024,1.52
1017,1001,1.38
1017,1002,1.12
1017,1003,1.42
1017,1004,1.48
1017,1005,1.35
1017,1006,1.52
1017,1007,1.55
1017,1008,1.28
1017,1009,1.22
1017,1010,1.38
1017,1011,1.32
1017,1012,1.42
1017,1013,1.45
1017,1014,1.42
1017,1015,1.52
1017,1016,1.25
1017,1018,1.48
1017,1019,1.35
1017,1020,1.18
1017,1021,1.15
1017,1022,1.58
1017,1023,1.28
1017,1024,1.32
1018,1001,1.48
1018,1002,1.58
1018,1003,1.55
1018,1004,1.42
1018,1005,1.22
1018,1006,1.38
1018,1007,1.25
1018,1008,1.35
1018,1009,1.12
1018,1010,1.48
1018,1011,1.42
1018,1012,1.28
1018,1013,1.38
1018,1014,1.45
1018,1015,1.15
1018,1016,1.35
1018,1017,1.48
1018,1019,1.52
1018,1020,1.32
1018,1021,1.58
1018,1022,1.25
1018,1023,1.42
1018,1024,1.18
1019,1001,1.22
1019,1002,1.32
1019,1003,1.38
1019,1004,1.12
1019,1005,1.18
1019,1006,1.48
1019,1007,1.42
1019,1008,1.52
1019,1009,1.28
1019,1010,1.58
1019,1011,1.35
1019,1012,1.45
1019,1013,1.32
1019,1014,1.38
1019,1015,1.28
1019,1016,1.15
1019,1017,1.35
1019,1018,1.52
1019,1020,1.25
1019,1021,1.42
1019,1022,1.48
1019,1023,1.55
1019,1024,1.08
1020,1001,1.28
1020,1002,1.22
1020,1003,1.48
1020,1004,1.58
1020,1005,1.12
1020,1006,1.45
1020,1007,1.52
1020,1008,1.32
1020,1009,1.38
1020,1010,1.25
1020,1011,1.58
1020,1012,1.18
1020,1013,1.48
1020,1014,1.32
1020,1015,1.55
1020,1016,1.42
1020,1017,1.18
1020,1018,1.32
1020,1019,1.25
1020,1021,1.35
1020,1022,1.38
1020,1023,1.45
1020,1024,1.15
1021,1001,1.35
1021,1002,1.15
1021,1003,1.35
1021,1004,1.45
1021,1005,1.52
1021,1006,1.18
1021,1007,1.48
1021,1008,1.25
1021,1009,1.42
1021,1010,1.32
1021,1011,1.28
1021,1012,1.38
1021,1013,1.55
1021,1014,1.48
1021,1015,1.32
1021,1016,1.48
1021,1017,1.15
1021,1018,1.58
1021,1019,1.42
1021,1020,1.35
1021,1022,1.22
1021,1023,1.38
1021,1024,1.28
1022,1001,1.12
1022,1002,1.35
1022,1003,1.28
1022,1004,1.18
1022,1005,1.48
1022,1006,1.22
1022,1007,1.35
1022,1008,1.58
1022,1009,1.32
1022,1010,1.45
1022,1011,1.15
1022,1012,1.52
1022,1013,1.28
1022,1014,1.55
1022,1015,1.42
1022,1016,1.05
1022,1017,1.58
1022,1018,1.25
1022,1019,1.48
1022,1020,1.38
1022,1021,1.22
1022,1023,1.32
1022,1024,1.42
1023,1001,1.25
1023,1002,1.42
1023,1003,1.15
1023,1004,1.32
1023,1005,1.55
1023,1006,1.58
1023,1007,1.28
1023,1008,1.45
1023,1009,1.58
1023,1010,1.18
1023,1011,1.22
1023,1012,1.32
1023,1013,1.20
1023,1014,1.25
1023,1015,1.48
1023,1016,1.38
1023,1017,1.28
1023,1018,1.42
1023,1019,1.55
1023,1020,1.45
1023,1021,1.38
1023,1022,1.32
1023,1024,1.35
1024,1001,1.45
1024,1002,1.48
1024,1003,1.52
1024,1004,1.28
1024,1005,1.32
1024,1006,1.15
1024,1007,1.45
1024,1008,1.18
1024,1009,1.25
1024,1010,1.22
1024,1011,1.55
1024,1012,1.12
1024,1013,1.42
1024,1014,1.18
1024,1015,1.12
1024,1016,1.52
1024,1017,1.32
1024,1018,1.18
1024,1019,1.08
1024,1020,1.15
1024,1021,1.28
1024,1022,1.42
1024,1023,1.35
