MFG_PLANT_ID,MATERIAL_ID,COMPONENT_ID,PRODUCT_ID,QUANTITY_ON_HAND,QUANTITY_ON_ORDER,SAFETY_STOCK_LEVEL,REPLENISHMENT_POINT,LAST_UPDATED_TIMESTAMP,MATERIAL_LEAD_TIME,DAYS_FORWARD_COVERAGE,LEAD_TIME_VARIABILITY
1011,,,6009,125,25,35,68,2024-12-20T09:27:34.709Z,20,46,4
1011,,,6010,95,18,25,48,2024-12-20T09:27:34.709Z,17,40,3
1012,121,,,2950,485,1125,2025,2024-12-20T09:27:34.709Z,16,48,3
1012,122,,,4075,335,805,1475,2024-12-20T09:27:34.709Z,22,95,5
1012,123,,,425,235,565,1025,2024-12-20T09:27:34.709Z,14,8,3
1012,,2011,,385,65,165,305,2024-12-20T09:27:34.709Z,11,29,2
1012,,2012,,265,45,125,225,2024-12-20T09:27:34.709Z,18,36,4
1012,,,6001,115,22,30,58,2024-12-20T09:27:34.709Z,19,44,4
1012,,,6002,85,15,22,42,2024-12-20T09:27:34.709Z,16,38,3
1013,123,,,1850,305,745,1365,2024-12-20T09:27:34.709Z,12,41,2
1013,124,,,325,225,535,965,2024-12-20T09:27:34.709Z,15,7,3
1013,125,,,925,155,375,675,2024-12-20T09:27:34.709Z,8,32,2
1013,,3001,,285,50,125,235,2024-12-20T09:27:34.709Z,10,26,2
1013,,3002,,195,35,85,165,2024-12-20T09:27:34.709Z,12,29,3
1013,,,7001,75,15,20,38,2024-12-20T09:27:34.709Z,16,35,3
1013,,,7002,55,10,15,28,2024-12-20T09:27:34.709Z,14,31,3
1014,124,,,4300,365,855,1575,2024-12-20T09:27:34.709Z,13,85,3
1014,125,,,3525,255,605,1125,2024-12-20T09:27:34.709Z,16,75,3
1014,126,,,1085,185,435,795,2024-12-20T09:27:34.709Z,11,34,2
1014,127,,,325,55,145,265,2024-12-20T09:27:34.709Z,14,28,3
1014,,3003,,325,55,145,265,2024-12-20T09:27:34.709Z,14,28,3
1014,,3004,,225,40,105,185,2024-12-20T09:27:34.709Z,17,33,4
1014,,,7003,85,16,22,42,2024-12-20T09:27:34.709Z,18,40,4
1014,,,7004,65,12,18,32,2024-12-20T09:27:34.709Z,15,36,3
1015,126,,,750,295,695,1275,2024-12-20T09:27:34.709Z,14,9,3
1015,127,,,1225,205,485,895,2024-12-20T09:27:34.709Z,18,35,4
1015,128,,,275,145,345,635,2024-12-20T09:27:34.709Z,9,7,2
1015,,3005,,265,45,125,225,2024-12-20T09:27:34.709Z,12,27,2
1015,,3006,,185,35,85,155,2024-12-20T09:27:34.709Z,15,32,3
1015,,,7005,75,14,20,38,2024-12-20T09:27:34.709Z,19,42,4
1015,,,7006,55,10,15,28,2024-12-20T09:27:34.709Z,16,37,3
1016,128,,,1450,245,575,1025,2024-12-20T09:27:34.709Z,11,38,2
1016,129,,,1025,175,405,745,2024-12-20T09:27:34.709Z,12,34,2
1016,130,,,225,125,295,535,2024-12-20T09:27:34.709Z,15,5,3
1016,,3007,,225,40,105,185,2024-12-20T09:27:34.709Z,13,26,3
1016,,3008,,155,28,75,135,2024-12-20T09:27:34.709Z,16,31,3
1016,,,7007,65,12,18,32,2024-12-20T09:27:34.709Z,17,36,3
1016,,,7008,45,8,12,22,2024-12-20T09:27:34.709Z,14,29,3
1017,129,,,1650,275,655,1175,2024-12-20T09:27:34.709Z,10,40,2
1017,130,,,3525,195,465,855,2024-12-20T09:27:34.709Z,13,85,3
1017,131,,,825,140,325,595,2024-12-20T09:27:34.709Z,16,32,3
1017,,3009,,245,42,115,205,2024-12-20T09:27:34.709Z,11,28,2
1017,,3010,,175,30,85,155,2024-12-20T09:27:34.709Z,14,33,3
1017,,,7009,75,15,20,38,2024-12-20T09:27:34.709Z,18,41,4
1017,,,7010,55,10,15,28,2024-12-20T09:27:34.709Z,15,35,3
1018,131,,,350,225,535,975,2024-12-20T09:27:34.709Z,12,6,2
1018,132,,,975,165,385,705,2024-12-20T09:27:34.709Z,15,33,3
1018,133,,,185,115,275,495,2024-12-20T09:27:34.709Z,9,4,2
1018,,3011,,205,35,95,175,2024-12-20T09:27:34.709Z,13,25,3
1018,,3012,,145,25,65,125,2024-12-20T09:27:34.709Z,17,30,4
1018,,,7001,65,12,18,32,2024-12-20T09:27:34.709Z,16,34,3
1018,,,7002,45,8,12,22,2024-12-20T09:27:34.709Z,14,28,3
1019,132,,,2850,475,1085,1975,2024-12-20T09:27:34.709Z,18,46,4
1019,133,,,4950,325,785,1425,2024-12-20T09:27:34.709Z,21,95,5
1019,134,,,1385,235,555,1025,2024-12-20T09:27:34.709Z,15,38,3
1019,,4001,,405,70,175,325,2024-12-20T09:27:34.709Z,14,31,3
1019,,4002,,285,50,125,235,2024-12-20T09:27:34.709Z,17,36,4
1019,,,8001,95,18,25,48,2024-12-20T09:27:34.709Z,22,48,5
1019,,,8002,75,14,20,38,2024-12-20T09:27:34.709Z,19,43,4
1020,134,,,550,425,975,1775,2024-12-20T09:27:34.709Z,16,8,3
1020,135,,,1775,295,705,1275,2024-12-20T09:27:34.709Z,20,40,4
1020,136,,,245,210,495,895,2024-12-20T09:27:34.709Z,12,5,2
1020,,4003,,365,62,155,285,2024-12-20T09:27:34.709Z,13,29,3
1020,,4004,,255,45,115,205,2024-12-20T09:27:34.709Z,16,34,3
1020,,,8003,85,16,22,42,2024-12-20T09:27:34.709Z,21,45,4
1020,,,8004,65,12,18,32,2024-12-20T09:27:34.709Z,18,39,4
1021,135,,,3250,545,1235,2275,2024-12-20T09:27:34.709Z,19,49,4
1021,136,,,4550,385,855,1575,2024-12-20T09:27:34.709Z,23,95,5
1021,137,,,1585,265,635,1175,2024-12-20T09:27:34.709Z,14,37,3
1021,,4005,,465,80,195,375,2024-12-20T09:27:34.709Z,15,32,3
1021,,4006,,325,55,145,265,2024-12-20T09:27:34.709Z,18,38,4
1021,,,8005,105,20,28,52,2024-12-20T09:27:34.709Z,24,50,5
1021,,,8006,85,15,22,42,2024-12-20T09:27:34.709Z,20,44,4
1022,137,,,950,495,1125,2025,2024-12-20T09:27:34.709Z,17,12,4
1022,138,,,2025,340,805,1475,2024-12-20T09:27:34.709Z,18,41,4
1022,139,,,425,240,565,1025,2024-12-20T09:27:34.709Z,21,9,5
1022,,4007,,425,72,175,335,2024-12-20T09:27:34.709Z,16,33,3
1022,,4008,,295,50,125,235,2024-12-20T09:27:34.709Z,19,37,4
1022,,,8007,115,22,30,58,2024-12-20T09:27:34.709Z,22,46,4
1022,,,8008,95,18,25,48,2024-12-20T09:27:34.709Z,20,42,4
1023,138,,,2650,445,1005,1825,2024-12-20T09:27:34.709Z,16,45,3
1023,139,,,4875,305,725,1325,2024-12-20T09:27:34.709Z,19,85,4
1023,140,,,285,215,515,935,2024-12-20T09:27:34.709Z,13,5,3
1023,,4009,,385,65,165,305,2024-12-20T09:27:34.709Z,14,30,3
1023,,4010,,265,45,125,225,2024-12-20T09:27:34.709Z,17,35,4
1023,,,8009,105,20,28,52,2024-12-20T09:27:34.709Z,21,47,4
1023,,,8010,85,15,22,42,2024-12-20T09:27:34.709Z,18,40,4
1024,140,,,350,395,895,1625,2024-12-20T09:27:34.709Z,15,6,3
1024,101,,,625,275,645,1175,2024-12-20T09:27:34.709Z,22,8,5
1024,102,,,145,195,455,825,2024-12-20T09:27:34.709Z,11,4,2
1024,,4011,,345,58,145,275,2024-12-20T09:27:34.709Z,12,28,2
1024,,4012,,235,40,105,195,2024-12-20T09:27:34.709Z,20,36,4
1024,,,8001,95,18,25,48,2024-12-20T09:27:34.709Z,18,41,4
1024,,,8002,75,14,20,38,2024-12-20T09:27:34.709Z,16,37,3
