BOM_ID,PARENT_PRODUCT_ID,PARENT_COMPONENT_ID,CHILD_MATERIAL_ID,CHILD_COMPONENT_ID,QUANTITY_REQUIRED,UNIT_OF_MEASURE,SCRAP_FACTOR,EFFECTIVE_DATE,EXPIRATION_DATE
10093,2007,,124,,0.6,kg,0.02,2024-01-01,
10094,2008,,125,,1.0,kg,0.03,2024-01-01,
10095,2008,,126,,0.9,m,0.01,2024-01-01,
10096,3001,,127,,0.4,kg,0.02,2024-01-01,
10097,3001,,128,,1.1,m,0.01,2024-01-01,
10098,3002,,129,,0.9,kg,0.03,2024-01-01,
10099,3002,,130,,0.5,kg,0.02,2024-01-01,
10100,3003,,131,,1.3,kg,0.04,2024-01-01,
10101,3003,,132,,0.8,m2,0.02,2024-01-01,
10102,3004,,133,,0.6,kg,0.02,2024-01-01,
10103,3004,,134,,1.2,kg,0.03,2024-01-01,
10104,3005,,135,,0.7,kg,0.02,2024-01-01,
10105,3005,,136,,0.9,m,0.01,2024-01-01,
10106,3006,,137,,0.8,kg,0.03,2024-01-01,
10107,3006,,138,,0.6,kg,0.02,2024-01-01,
10108,4001,,139,,2.1,kg,0.04,2024-01-01,
10109,4001,,140,,1.4,m2,0.02,2024-01-01,
10110,4002,,131,,1.8,kg,0.03,2024-01-01,
10111,4002,,132,,2.5,m2,0.02,2024-01-01,
10112,4003,,133,,1.6,kg,0.04,2024-01-01,
10113,4003,,134,,2.2,kg,0.03,2024-01-01,
10114,4004,,135,,3.1,kg,0.05,2024-01-01,
10115,4004,,136,,1.9,m,0.02,2024-01-01,
10116,4005,,137,,1.3,kg,0.03,2024-01-01,
10117,4005,,138,,0.9,kg,0.02,2024-01-01,
10118,4006,,139,,2.4,kg,0.04,2024-01-01,
10119,4006,,140,,1.7,m2,0.02,2024-01-01,
10120,4007,,131,,1.9,kg,0.03,2024-01-01,
10121,4007,,132,,2.8,m2,0.02,2024-01-01,
10122,4008,,133,,1.5,kg,0.04,2024-01-01,
10123,4008,,134,,2.1,kg,0.03,2024-01-01,
